gene_id,mod_num,mod_color
ENSG00000241772,2,blue
ENSG00000241886,2,blue
ENSG00000241975,3,brown
ENSG00000242094,2,blue
ENSG00000242324,2,blue
ENSG00000243175,2,blue
ENSG00000243398,2,blue
ENSG00000243406,2,blue
ENSG00000243544,2,blue
ENSG00000243554,2,blue
ENSG00000243609,2,blue
ENSG00000243646,2,blue
ENSG00000243660,2,blue
ENSG00000243806,3,brown
ENSG00000243927,3,brown
ENSG00000244165,3,brown
ENSG00000244482,2,blue
ENSG00000244617,2,blue
ENSG00000244627,2,blue
ENSG00000245025,8,pink
ENSG00000245105,8,pink
ENSG00000245164,7,black
ENSG00000245556,2,blue
ENSG00000245571,2,blue
ENSG00000245958,3,brown
ENSG00000246084,7,black
ENSG00000246089,2,blue
ENSG00000246145,3,brown
ENSG00000246223,7,black
ENSG00000246263,3,brown
ENSG00000246526,8,pink
ENSG00000246596,3,brown
ENSG00000246627,3,brown
ENSG00000246790,7,black
ENSG00000247400,3,brown
ENSG00000247624,2,blue
ENSG00000247626,2,blue
ENSG00000248019,2,blue
ENSG00000248049,2,blue
ENSG00000248283,3,brown
ENSG00000248323,2,blue
ENSG00000248508,3,brown
ENSG00000248693,2,blue
ENSG00000248727,2,blue
ENSG00000248791,3,brown
ENSG00000248858,3,brown
ENSG00000248863,3,brown
ENSG00000249096,2,blue
ENSG00000249138,2,blue
ENSG00000249309,2,blue
ENSG00000249437,2,blue
ENSG00000249476,2,blue
ENSG00000249662,2,blue
ENSG00000249667,7,black
ENSG00000249806,7,black
ENSG00000249825,7,black
ENSG00000249859,7,black
ENSG00000249978,8,pink
ENSG00000250130,2,blue
ENSG00000250254,2,blue
ENSG00000250608,2,blue
ENSG00000250616,2,blue
ENSG00000250889,7,black
ENSG00000251034,7,black
ENSG00000251192,2,blue
ENSG00000251215,2,blue
ENSG00000251259,3,brown
ENSG00000251301,8,pink
ENSG00000251442,2,blue
ENSG00000251682,2,blue
ENSG00000252906,2,blue
ENSG00000253284,8,pink
ENSG00000253522,2,blue
ENSG00000253616,2,blue
ENSG00000253636,3,brown
ENSG00000253981,2,blue
ENSG00000254087,2,blue
ENSG00000254093,2,blue
ENSG00000254272,2,blue
ENSG00000254363,3,brown
ENSG00000254470,2,blue
ENSG00000254789,2,blue
ENSG00000254876,2,blue
ENSG00000254986,3,brown
ENSG00000255112,3,brown
ENSG00000255163,2,blue
ENSG00000255328,2,blue
ENSG00000255398,2,blue
ENSG00000255776,8,pink
ENSG00000255801,2,blue
ENSG00000255819,8,pink
ENSG00000255987,2,blue
ENSG00000256039,8,pink
ENSG00000256128,8,pink
ENSG00000256229,3,brown
ENSG00000256427,8,pink
ENSG00000256576,7,black
ENSG00000256581,2,blue
ENSG00000256720,8,pink
ENSG00000256751,2,blue
ENSG00000256937,8,pink
ENSG00000257093,7,black
ENSG00000257242,7,black
ENSG00000257335,2,blue
ENSG00000257727,2,blue
ENSG00000257743,2,blue
ENSG00000257878,2,blue
ENSG00000258082,2,blue
ENSG00000258101,3,brown
ENSG00000258215,2,blue
ENSG00000258316,2,blue
ENSG00000258352,2,blue
ENSG00000258476,2,blue
ENSG00000258565,2,blue
ENSG00000258819,2,blue
ENSG00000258875,8,pink
ENSG00000258944,2,blue
ENSG00000259205,3,brown
ENSG00000259330,2,blue
ENSG00000259332,2,blue
ENSG00000259363,2,blue
ENSG00000259379,2,blue
ENSG00000259600,2,blue
ENSG00000259626,2,blue
ENSG00000259642,2,blue
ENSG00000259651,2,blue
ENSG00000259671,2,blue
ENSG00000259673,2,blue
ENSG00000259962,2,blue
ENSG00000260078,3,brown
ENSG00000260083,2,blue
ENSG00000260452,2,blue
ENSG00000260711,2,blue
ENSG00000260807,7,black
ENSG00000260816,3,brown
ENSG00000260822,2,blue
ENSG00000260910,3,brown
ENSG00000260916,3,brown
ENSG00000260948,7,black
ENSG00000261136,2,blue
ENSG00000261150,7,black
ENSG00000261208,8,pink
ENSG00000261229,2,blue
ENSG00000261371,2,blue
ENSG00000261428,2,blue
ENSG00000261468,2,blue
ENSG00000261526,2,blue
ENSG00000261596,2,blue
ENSG00000261662,2,blue
ENSG00000261716,2,blue
ENSG00000261801,3,brown
ENSG00000261804,2,blue
ENSG00000262370,2,blue
ENSG00000262714,2,blue
ENSG00000263013,2,blue
ENSG00000263482,7,black
ENSG00000264522,3,brown
ENSG00000265531,2,blue
ENSG00000265625,2,blue
ENSG00000265666,2,blue
ENSG00000265828,2,blue
ENSG00000265972,2,blue
ENSG00000265996,2,blue
ENSG00000266127,3,brown
ENSG00000266338,7,black
ENSG00000266405,3,brown
ENSG00000266709,3,brown
ENSG00000266947,7,black
ENSG00000267074,3,brown
ENSG00000267106,3,brown
ENSG00000267174,2,blue
ENSG00000267194,2,blue
ENSG00000267278,7,black
ENSG00000267364,2,blue
ENSG00000267481,2,blue
ENSG00000267767,3,brown
ENSG00000268170,2,blue
ENSG00000268220,2,blue
ENSG00000268516,3,brown
ENSG00000268734,2,blue
ENSG00000269293,2,blue
ENSG00000269713,7,black
ENSG00000269825,2,blue
ENSG00000269837,3,brown
ENSG00000269918,2,blue
ENSG00000269997,2,blue
ENSG00000270012,7,black
ENSG00000270015,2,blue
ENSG00000270130,2,blue
ENSG00000270277,2,blue
ENSG00000270562,3,brown
ENSG00000270574,2,blue
ENSG00000270640,2,blue
ENSG00000270956,2,blue
ENSG00000270959,2,blue
ENSG00000271011,2,blue
ENSG00000271327,2,blue
ENSG00000271361,2,blue
ENSG00000271461,2,blue
ENSG00000271503,8,pink
ENSG00000271856,7,black
ENSG00000271964,7,black
ENSG00000272033,2,blue
ENSG00000272282,8,pink
ENSG00000272477,7,black
ENSG00000272498,7,black
ENSG00000272501,2,blue
ENSG00000272529,7,black
ENSG00000272562,2,blue
ENSG00000272625,2,blue
ENSG00000272734,3,brown
